SRR1970797,WGS,PRJNA280802,SAMN03466619,UNIVERSITY OF POTSDAM,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX992579,Illumina HiSeq 2000,LPA_placenta--SG,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-04-10T00:00:00Z,LPA_placenta,SRP057047,,,,,,,,,,,,200,392390800,252808424,,,,,not collected,J.Fickel,Model organism or animal,NA,not collected,tissue (placenta)
ERR1255534,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,sra","s3,gs,ena,ncbi","ncbi.public,gs.US,s3.us-east-1,ena",ERX1327143,Illumina Genome Analyzer IIx,LYNX_J,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,8889691272,5641893903,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255535,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"sra,fastq","gs,ncbi,ena,s3","ena,gs.US,s3.us-east-1,ncbi.public",ERX1327144,Illumina Genome Analyzer IIx,LYNX_J,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,9151149132,5835044309,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255536,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"unknown_contigs,sra,fastq","gs,ena,ncbi,s3","ena,s3.us-east-1,ncbi.public,gs.US",ERX1327145,Illumina Genome Analyzer IIx,LYNX_J,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,6179570640,3863842975,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255537,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,sra,unknown_contigs","ena,s3,gs,ncbi","s3.us-east-1,ncbi.public,ena,gs.US",ERX1327146,Illumina Genome Analyzer IIx,LYNX_J,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,5909635056,3598279461,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255538,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,sra,unknown_contigs","ncbi,s3,ena,gs","ncbi.public,gs.US,s3.us-east-1,ena",ERX1327147,Illumina Genome Analyzer IIx,LYNX_J,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,5517954084,3353242835,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255539,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,unknown_contigs,sra","ena,s3,ncbi,gs","gs.US,ncbi.public,ena,s3.us-east-1",ERX1327148,Illumina Genome Analyzer IIx,LYNX_J,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,5661553044,3461218226,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255555,WGS,PRJEB12609,SAMEA3862496,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,sra","ncbi,ena,gs,s3","ena,ncbi.public,s3.us-east-1,gs.US",ERX1327164,Illumina HiSeq 2000,810A-J,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862496,ERP014100,LYNX2,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049630,ERS1049630,Lynx pardinus DNA,200,18025925000,12144853477,Beta gDNA sample,,A002,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255556,WGS,PRJEB12609,SAMEA3862496,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,sra","s3,ncbi,ena,gs","ena,s3.us-east-1,gs.US,ncbi.public",ERX1327165,Illumina HiSeq 2000,810A-L,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862496,ERP014100,LYNX2,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049630,ERS1049630,Lynx pardinus DNA,200,18752625600,12733302909,Beta gDNA sample,,A002,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255557,WGS,PRJEB12609,SAMEA3862496,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,sra","ena,gs,s3,ncbi","gs.US,ena,ncbi.public,s3.us-east-1",ERX1327166,Illumina HiSeq 2000,810A-J,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862496,ERP014100,LYNX2,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049630,ERS1049630,Lynx pardinus DNA,200,15302345400,9473075911,Beta gDNA sample,,A002,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255558,WGS,PRJEB12609,SAMEA3862496,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"sra,fastq","s3,ena,gs,ncbi","ncbi.public,s3.us-east-1,gs.US,ena",ERX1327167,Illumina HiSeq 2000,810A-L,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862496,ERP014100,LYNX2,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049630,ERS1049630,Lynx pardinus DNA,200,18279866400,11737870495,Beta gDNA sample,,A002,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255559,WGS,PRJEB12609,SAMEA3862497,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,sra","gs,s3,ncbi,ena","gs.US,ncbi.public,ena,s3.us-east-1",ERX1327168,Illumina HiSeq 2000,811A-J,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862497,ERP014100,LYNX3,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049631,ERS1049631,Lynx pardinus DNA,200,19840607000,13452261540,Gazpacho gDNA sample,,A003,"Do?ana National Park\, Andaluc?a\, Spain",,,,,,
ERR1255560,WGS,PRJEB12609,SAMEA3862497,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,sra","ena,ncbi,gs,s3","gs.US,ena,s3.us-east-1,ncbi.public",ERX1327169,Illumina HiSeq 2000,811A-L,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862497,ERP014100,LYNX3,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049631,ERS1049631,Lynx pardinus DNA,200,18530890600,12551787878,Gazpacho gDNA sample,,A003,"Do?ana National Park\, Andaluc?a\, Spain",,,,,,
ERR1255561,WGS,PRJEB12609,SAMEA3862497,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"sra,fastq","gs,s3,ena,ncbi","gs.US,ncbi.public,ena,s3.us-east-1",ERX1327170,Illumina HiSeq 2000,811A-J,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862497,ERP014100,LYNX3,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049631,ERS1049631,Lynx pardinus DNA,200,18885807600,11988851540,Gazpacho gDNA sample,,A003,"Do?ana National Park\, Andaluc?a\, Spain",,,,,,
ERR1255562,WGS,PRJEB12609,SAMEA3862497,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,sra","ncbi,ena,gs,s3","s3.us-east-1,ncbi.public,ena,gs.US",ERX1327171,Illumina HiSeq 2000,811A-L,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862497,ERP014100,LYNX3,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049631,ERS1049631,Lynx pardinus DNA,200,18464438800,11812643834,Gazpacho gDNA sample,,A003,"Do?ana National Park\, Andaluc?a\, Spain",,,,,,
ERR1255563,WGS,PRJEB12609,SAMEA3862498,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"sra,fastq","ena,s3,ncbi,gs","ena,gs.US,s3.us-east-1,ncbi.public",ERX1327172,Illumina HiSeq 2000,812A-J,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862498,ERP014100,LYNX4,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049632,ERS1049632,Lynx pardinus DNA,200,18421827800,12381952320,Arcex gDNA sample,,A005,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255564,WGS,PRJEB12609,SAMEA3862498,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,sra","gs,ena,ncbi,s3","ena,ncbi.public,gs.US,s3.us-east-1",ERX1327173,Illumina HiSeq 2000,812A-L,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862498,ERP014100,LYNX4,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049632,ERS1049632,Lynx pardinus DNA,200,18119651800,12253440155,Arcex gDNA sample,,A005,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255565,WGS,PRJEB12609,SAMEA3862498,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"sra,fastq","s3,gs,ncbi,ena","ncbi.public,gs.US,s3.us-east-1,ena",ERX1327174,Illumina HiSeq 2000,812A-J,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862498,ERP014100,LYNX4,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049632,ERS1049632,Lynx pardinus DNA,200,19590918200,12622333538,Arcex gDNA sample,,A005,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255566,WGS,PRJEB12609,SAMEA3862498,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"sra,fastq","s3,gs,ncbi,ena","ena,ncbi.public,s3.us-east-1,gs.US",ERX1327175,Illumina HiSeq 2000,812A-L,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862498,ERP014100,LYNX4,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049632,ERS1049632,Lynx pardinus DNA,200,18710387600,12027919956,Arcex gDNA sample,,A005,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255567,WGS,PRJEB12609,SAMEA3862499,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,sra","ena,ncbi,s3,gs","ena,ncbi.public,gs.US,s3.us-east-1",ERX1327176,Illumina HiSeq 2000,813A-K,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862499,ERP014100,LYNX5,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049633,ERS1049633,Lynx pardinus DNA,200,20657366200,14098257945,Daman2 gDNA sample,,A006,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255568,WGS,PRJEB12609,SAMEA3862499,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"sra,fastq","s3,gs,ncbi,ena","ena,gs.US,ncbi.public,s3.us-east-1",ERX1327177,Illumina HiSeq 2000,813A-M,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862499,ERP014100,LYNX5,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049633,ERS1049633,Lynx pardinus DNA,200,20477668800,14019611610,Daman2 gDNA sample,,A006,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255569,WGS,PRJEB12609,SAMEA3862499,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,sra","s3,ncbi,gs,ena","s3.us-east-1,ena,gs.US,ncbi.public",ERX1327178,Illumina HiSeq 2000,813A-K,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862499,ERP014100,LYNX5,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049633,ERS1049633,Lynx pardinus DNA,200,20298104800,12984506097,Daman2 gDNA sample,,A006,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255570,WGS,PRJEB12609,SAMEA3862499,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,sra","ncbi,s3,ena,gs","ena,s3.us-east-1,gs.US,ncbi.public",ERX1327179,Illumina HiSeq 2000,813A-M,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862499,ERP014100,LYNX5,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049633,ERS1049633,Lynx pardinus DNA,200,19727702600,12665751680,Daman2 gDNA sample,,A006,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255571,WGS,PRJEB12609,SAMEA3862500,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"sra,fastq","ncbi,s3,ena,gs","ena,gs.US,ncbi.public,s3.us-east-1",ERX1327180,Illumina HiSeq 2000,814A-K,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862500,ERP014100,LYNX6,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049634,ERS1049634,Lynx pardinus DNA,200,18315206400,11861657127,Almoradoux gDNA sample,,A007,"Do?ana National Park\, Andaluc?a\, Spain",,,,,,
ERR1255572,WGS,PRJEB12609,SAMEA3862500,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,sra","ncbi,ena,s3,gs","ncbi.public,ena,gs.US,s3.us-east-1",ERX1327181,Illumina HiSeq 2000,814A-L,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862500,ERP014100,LYNX6,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049634,ERS1049634,Lynx pardinus DNA,200,21275324400,14259800317,Almoradoux gDNA sample,,A007,"Do?ana National Park\, Andaluc?a\, Spain",,,,,,
ERR1255573,WGS,PRJEB12609,SAMEA3862500,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"sra,fastq","ncbi,gs,ena,s3","ena,s3.us-east-1,ncbi.public,gs.US",ERX1327182,Illumina HiSeq 2000,814A-K,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862500,ERP014100,LYNX6,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049634,ERS1049634,Lynx pardinus DNA,200,14292653200,9344826279,Almoradoux gDNA sample,,A007,"Do?ana National Park\, Andaluc?a\, Spain",,,,,,
ERR1255574,WGS,PRJEB12609,SAMEA3862500,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"sra,fastq","s3,ena,gs,ncbi","ena,gs.US,s3.us-east-1,ncbi.public",ERX1327183,Illumina HiSeq 2000,814A-L,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862500,ERP014100,LYNX6,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049634,ERS1049634,Lynx pardinus DNA,200,17463420600,11641146375,Almoradoux gDNA sample,,A007,"Do?ana National Park\, Andaluc?a\, Spain",,,,,,
ERR1255575,WGS,PRJEB12609,SAMEA3862501,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,sra","gs,ena,ncbi,s3","gs.US,ena,ncbi.public,s3.us-east-1",ERX1327184,Illumina HiSeq 2000,815A-J,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862501,ERP014100,LYNX7,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049635,ERS1049635,Lynx pardinus DNA,200,18491331800,12075546596,Fran gDNA sample,,A008,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255576,WGS,PRJEB12609,SAMEA3862501,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,sra","s3,ncbi,gs,ena","ena,gs.US,ncbi.public,s3.us-east-1",ERX1327185,Illumina HiSeq 2000,815A-K,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862501,ERP014100,LYNX7,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049635,ERS1049635,Lynx pardinus DNA,200,23171834000,15877391495,Fran gDNA sample,,A008,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255577,WGS,PRJEB12609,SAMEA3862501,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"sra,fastq","gs,s3,ena,ncbi","s3.us-east-1,gs.US,ncbi.public,ena",ERX1327186,Illumina HiSeq 2000,815A-J,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862501,ERP014100,LYNX7,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049635,ERS1049635,Lynx pardinus DNA,200,14598078400,9596191153,Fran gDNA sample,,A008,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255578,WGS,PRJEB12609,SAMEA3862501,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,sra","ncbi,gs,s3,ena","ncbi.public,ena,gs.US,s3.us-east-1",ERX1327187,Illumina HiSeq 2000,815A-K,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862501,ERP014100,LYNX7,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049635,ERS1049635,Lynx pardinus DNA,200,18553940000,12418001977,Fran gDNA sample,,A008,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255579,WGS,PRJEB12609,SAMEA3862502,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,sra","gs,ncbi,s3,ena","ncbi.public,gs.US,ena,s3.us-east-1",ERX1327188,Illumina HiSeq 2000,816A-J,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862502,ERP014100,LYNX8,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049636,ERS1049636,Lynx pardinus DNA,200,19984997600,13190744065,Pavon gDNA sample,,A009,"Do?ana National Park\, Andaluc?a\, Spain",,,,,,
ERR1255580,WGS,PRJEB12609,SAMEA3862502,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"sra,fastq","ncbi,s3,ena,gs","ncbi.public,s3.us-east-1,ena,gs.US",ERX1327189,Illumina HiSeq 2000,816A-K,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862502,ERP014100,LYNX8,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049636,ERS1049636,Lynx pardinus DNA,200,20914496200,14007249971,Pavon gDNA sample,,A009,"Do?ana National Park\, Andaluc?a\, Spain",,,,,,
ERR1255581,WGS,PRJEB12609,SAMEA3862502,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"sra,fastq","ena,s3,gs,ncbi","s3.us-east-1,ena,ncbi.public,gs.US",ERX1327190,Illumina HiSeq 2000,816A-J,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862502,ERP014100,LYNX8,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049636,ERS1049636,Lynx pardinus DNA,200,17218024400,11427435259,Pavon gDNA sample,,A009,"Do?ana National Park\, Andaluc?a\, Spain",,,,,,
ERR1255582,WGS,PRJEB12609,SAMEA3862502,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,sra","ncbi,s3,ena,gs","s3.us-east-1,ena,gs.US,ncbi.public",ERX1327191,Illumina HiSeq 2000,816A-K,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862502,ERP014100,LYNX8,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049636,ERS1049636,Lynx pardinus DNA,200,16535409400,10974480040,Pavon gDNA sample,,A009,"Do?ana National Park\, Andaluc?a\, Spain",,,,,,
ERR1255583,WGS,PRJEB12609,SAMEA3862503,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,sra","ncbi,gs,ena,s3","gs.US,ncbi.public,ena,s3.us-east-1",ERX1327192,Illumina HiSeq 2000,817A-K,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862503,ERP014100,LYNX9,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049637,ERS1049637,Lynx pardinus DNA,200,16972723000,10935081086,Borja gDNA sample,,A010,"Do?ana National Park\, Andaluc?a\, Spain",,,,,,
ERR1255584,WGS,PRJEB12609,SAMEA3862503,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,sra","s3,ncbi,gs,ena","gs.US,ena,ncbi.public,s3.us-east-1",ERX1327193,Illumina HiSeq 2000,817A-J,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862503,ERP014100,LYNX9,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049637,ERS1049637,Lynx pardinus DNA,200,19195885800,12471140844,Borja gDNA sample,,A010,"Do?ana National Park\, Andaluc?a\, Spain",,,,,,
ERR1255585,WGS,PRJEB12609,SAMEA3862503,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"sra,fastq","s3,ena,ncbi,gs","gs.US,ncbi.public,s3.us-east-1,ena",ERX1327194,Illumina HiSeq 2000,817A-K,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862503,ERP014100,LYNX9,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049637,ERS1049637,Lynx pardinus DNA,200,16873805600,11198735738,Borja gDNA sample,,A010,"Do?ana National Park\, Andaluc?a\, Spain",,,,,,
ERR1255586,WGS,PRJEB12609,SAMEA3862503,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,sra","ena,s3,ncbi,gs","gs.US,s3.us-east-1,ena,ncbi.public",ERX1327195,Illumina HiSeq 2000,817A-J,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862503,ERP014100,LYNX9,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049637,ERS1049637,Lynx pardinus DNA,200,17799069400,11860035082,Borja gDNA sample,,A010,"Do?ana National Park\, Andaluc?a\, Spain",,,,,,
ERR1255587,WGS,PRJEB12609,SAMEA3862504,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,sra","s3,ena,ncbi,gs","ncbi.public,ena,s3.us-east-1,gs.US",ERX1327196,Illumina HiSeq 2000,818A-J,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862504,ERP014100,LYNX10,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049638,ERS1049638,Lynx pardinus DNA,200,19797911800,13226192450,Jub gDNA sample,,B991,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
