SRR3001921,WGS,SAMN04296391,CFSAN,public,SRX1483052,Illumina MiSeq,Salmonella enterica subsp. enterica Nextera XT shotgun,PAIRED,RANDOM,GENOMIC,Salmonella enterica,ILLUMINA,2015-12-15T00:00:00Z,CFSAN042580,SRP018785,469,374543740,235806628,"wgmlst_sig,sra,fastq,realign","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA186035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,North America,USA:SC,,,,,,,,,,,,,,,,,Pathogen.env,1998,missing,,Lemur; necropsy,,
ERR4189652,WGS,SAMEA5533126,WELLCOME SANGER INSTITUTE,public,ERX4151421,HiSeq X Ten,DN531410W:H8,PAIRED,RANDOM,GENOMIC,Lemur catta,ILLUMINA,2020-06-03T00:00:00Z,11d25a38-4eeb-11e9-9de7-68b59976a384,ERP115057,302,23514770960,9902386819,"cram,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",PRJEB32376,2020-06-02,2020-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-06-02,2019-03-25,Lemur,Lemur catta,,,,Lemur,,RTLD0001b_lo0016,,,,,,,,,,,,,,,,,,,,
ERR4189653,WGS,SAMEA5533102,WELLCOME SANGER INSTITUTE,public,ERX4151422,HiSeq X Ten,DN531410W:H5,PAIRED,RANDOM,GENOMIC,Lemur catta,ILLUMINA,2020-06-03T00:00:00Z,0f31beae-4eeb-11e9-9de7-68b59976a384,ERP115057,302,22512769992,9443305923,"sra,cram","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",PRJEB32376,2020-06-02,2020-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-06-02,2019-03-25,Lemur,Lemur catta,,,,Lemur,,RTLD0001d_lo0003,,,,,,,,,,,,,,,,,,,,
ERR4189654,WGS,SAMEA5533103,WELLCOME SANGER INSTITUTE,public,ERX4151423,HiSeq X Ten,DN531410W:A6,PAIRED,RANDOM,GENOMIC,Lemur catta,ILLUMINA,2020-06-03T00:00:00Z,0f4e6572-4eeb-11e9-9de7-68b59976a384,ERP115057,302,23057634768,9711907402,"cram,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",PRJEB32376,2020-06-02,2020-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-06-02,2019-03-25,Lemur,Lemur catta,,,,Lemur,,RTLD0001d_lo0004,,,,,,,,,,,,,,,,,,,,
ERR4189655,WGS,SAMEA5533105,WELLCOME SANGER INSTITUTE,public,ERX4151424,HiSeq X Ten,DN531410W:C6,PAIRED,RANDOM,GENOMIC,Lemur catta,ILLUMINA,2020-06-03T00:00:00Z,0f86a4b4-4eeb-11e9-9de7-68b59976a384,ERP115057,302,25120530932,10496570736,"sra,cram","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",PRJEB32376,2020-06-02,2020-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-06-02,2019-03-25,Lemur,Lemur catta,,,,Lemur,,RTLD0001d_lo0006,,,,,,,,,,,,,,,,,,,,
ERR4189656,WGS,SAMEA5533110,WELLCOME SANGER INSTITUTE,public,ERX4151425,HiSeq X Ten,DN531410W:H6,PAIRED,RANDOM,GENOMIC,Lemur catta,ILLUMINA,2020-06-03T00:00:00Z,1015d670-4eeb-11e9-9de7-68b59976a384,ERP115057,302,27230851968,11520276317,"sra,cram","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",PRJEB32376,2020-06-02,2020-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-06-02,2019-03-25,Lemur,Lemur catta,,,,Lemur,,RTLD0001d_lo0011,,,,,,,,,,,,,,,,,,,,
ERR4189657,WGS,SAMEA5533126,WELLCOME SANGER INSTITUTE,public,ERX4151426,HiSeq X Ten,DN531410W:H8,PAIRED,RANDOM,GENOMIC,Lemur catta,ILLUMINA,2020-06-03T00:00:00Z,11d25a38-4eeb-11e9-9de7-68b59976a384,ERP115057,302,23991259916,10137029332,"sra,cram","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",PRJEB32376,2020-06-02,2020-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-06-02,2019-03-25,Lemur,Lemur catta,,,,Lemur,,RTLD0001b_lo0016,,,,,,,,,,,,,,,,,,,,
ERR4189658,WGS,SAMEA5533102,WELLCOME SANGER INSTITUTE,public,ERX4151427,HiSeq X Ten,DN531410W:H5,PAIRED,RANDOM,GENOMIC,Lemur catta,ILLUMINA,2020-06-03T00:00:00Z,0f31beae-4eeb-11e9-9de7-68b59976a384,ERP115057,302,22114718590,9186054127,"cram,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",PRJEB32376,2020-06-02,2020-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-06-02,2019-03-25,Lemur,Lemur catta,,,,Lemur,,RTLD0001d_lo0003,,,,,,,,,,,,,,,,,,,,
ERR4189659,WGS,SAMEA5533103,WELLCOME SANGER INSTITUTE,public,ERX4151428,HiSeq X Ten,DN531410W:A6,PAIRED,RANDOM,GENOMIC,Lemur catta,ILLUMINA,2020-06-03T00:00:00Z,0f4e6572-4eeb-11e9-9de7-68b59976a384,ERP115057,302,22691471848,9474182786,"sra,cram","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",PRJEB32376,2020-06-02,2020-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-06-02,2019-03-25,Lemur,Lemur catta,,,,Lemur,,RTLD0001d_lo0004,,,,,,,,,,,,,,,,,,,,
ERR4189660,WGS,SAMEA5533105,WELLCOME SANGER INSTITUTE,public,ERX4151429,HiSeq X Ten,DN531410W:C6,PAIRED,RANDOM,GENOMIC,Lemur catta,ILLUMINA,2020-06-03T00:00:00Z,0f86a4b4-4eeb-11e9-9de7-68b59976a384,ERP115057,302,24752170358,10243463896,"sra,cram","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",PRJEB32376,2020-06-02,2020-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-06-02,2019-03-25,Lemur,Lemur catta,,,,Lemur,,RTLD0001d_lo0006,,,,,,,,,,,,,,,,,,,,
ERR4189661,WGS,SAMEA5533110,WELLCOME SANGER INSTITUTE,public,ERX4151430,HiSeq X Ten,DN531410W:H6,PAIRED,RANDOM,GENOMIC,Lemur catta,ILLUMINA,2020-06-03T00:00:00Z,1015d670-4eeb-11e9-9de7-68b59976a384,ERP115057,302,26760597198,11219987731,"sra,cram","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",PRJEB32376,2020-06-02,2020-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-06-02,2019-03-25,Lemur,Lemur catta,,,,Lemur,,RTLD0001d_lo0011,,,,,,,,,,,,,,,,,,,,
ERR4189662,WGS,SAMEA5533126,WELLCOME SANGER INSTITUTE,public,ERX4151431,HiSeq X Ten,DN531410W:H8,PAIRED,RANDOM,GENOMIC,Lemur catta,ILLUMINA,2020-06-03T00:00:00Z,11d25a38-4eeb-11e9-9de7-68b59976a384,ERP115057,302,23593586316,9885384169,"sra,cram","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",PRJEB32376,2020-06-02,2020-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-06-02,2019-03-25,Lemur,Lemur catta,,,,Lemur,,RTLD0001b_lo0016,,,,,,,,,,,,,,,,,,,,
SRR12017914,WGS,SAMN15239380,CFSAN,public,SRX8550390,Illumina MiSeq,Nextera XT library SEQ000107479,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Javiana,ILLUMINA,2020-06-15T00:00:00Z,CFSAN106276,SRP115297,486,675914943,326012925,"realign,fastq,sra,wgmlst_sig","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",PRJNA316452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,North America,USA:GA,,,,,,,,,,,,,,,,,Pathogen.env,2019-07-11,missing,,Feces (Lemur catta),,
